IP,Time,URL,Status,Method,HTTP
10.130.2.1,2017-11-29 16:22:41,/css/main.css,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 16:22:41,/css/style.css,200,GET,HTTP/1.1
10.131.0.1,2017-11-29 16:22:41,/js/vendor/modernizr-2.8.3.min.js,200,GET,HTTP/1.1
10.129.2.1,2017-11-29 16:22:41,/js/vendor/jquery-1.12.0.min.js,200,GET,HTTP/1.1
10.131.0.1,2017-11-29 16:22:43,/bootstrap-3.3.7/js/bootstrap.min.js,200,GET,HTTP/1.1
10.131.0.1,2017-11-29 16:22:51,/login.php,302,GET,HTTP/1.1
10.129.2.1,2017-11-29 16:22:51,/fonts/fontawesome-webfont.woff2?v=4.6.3,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 16:22:52,/home.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 16:22:56,/login.php,302,GET,HTTP/1.1
10.131.0.1,2017-11-29 16:22:57,/process.php,302,POST,HTTP/1.1
10.131.0.1,2017-11-29 16:22:57,/home.php,200,GET,HTTP/1.1
10.131.0.1,2017-11-29 16:22:59,/home.php,200,GET,HTTP/1.1
10.129.2.1,2017-11-29 16:23:00,/bootstrap-3.3.7/js/bootstrap.js,200,GET,HTTP/1.1
10.129.2.1,2017-11-29 16:23:00,/js/vendor/moment.min.js,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 16:23:09,/,302,GET,HTTP/1.1
10.130.2.1,2017-11-29 16:23:10,/login.php,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 16:23:11,/css/bootstrap.min.css,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 16:23:11,/css/font-awesome.min.css,200,GET,HTTP/1.1
10.131.0.1,2017-11-29 16:23:11,/css/normalize.css,200,GET,HTTP/1.1
10.131.0.1,2017-11-29 16:23:11,/css/main.css,200,GET,HTTP/1.1
10.129.2.1,2017-11-29 16:23:11,/css/style.css,200,GET,HTTP/1.1
